rubro,provincia,anio,value
Manufacturas de origen agropecuario,Chaco,2008,64.911
Manufacturas de origen agropecuario,Corrientes,2008,30.498
Manufacturas de origen agropecuario,Formosa,2008,11.56
Manufacturas de origen agropecuario,Misiones,2008,218.446
Manufacturas de origen industrial,Total País,2008,22063.368
Manufacturas de origen industrial,Buenos Aires,2008,12359.289
Manufacturas de origen industrial,Capital Federal,2008,279.738
Manufacturas de origen industrial,Córdoba,2008,2040.647
Manufacturas de origen industrial,Entre Ríos,2008,94.562
Manufacturas de origen industrial,La Pampa,2008,7.196
Manufacturas de origen industrial,Santa Fe,2008,1930.15
Manufacturas de origen industrial,Chubut,2008,744.808
Manufacturas de origen industrial,Neuquén,2008,102.147
Manufacturas de origen industrial,Río Negro,2008,33.861
Manufacturas de origen industrial,Santa Cruz,2008,244.471
Manufacturas de origen industrial,Tierra del Fuego,2008,118.816
Manufacturas de origen industrial,Catamarca,2008,103.02
Manufacturas de origen industrial,Jujuy,2008,79.041
Manufacturas de origen industrial,La Rioja,2008,79.548
Manufacturas de origen industrial,Salta,2008,82.738
Manufacturas de origen industrial,Santiago del Estero,2008,26.631
Manufacturas de origen industrial,Tucumán,2008,281.584
Manufacturas de origen industrial,Mendoza,2008,239.958
Manufacturas de origen industrial,San Juan,2008,625.868
Manufacturas de origen industrial,San Luis,2008,319.961
Manufacturas de origen industrial,Chaco,2008,9.392
Manufacturas de origen industrial,Corrientes,2008,11.96
Manufacturas de origen industrial,Formosa,2008,2.397
Manufacturas de origen industrial,Misiones,2008,142.9
Combustibles y energía,Total País,2008,7847.757
Combustibles y energía,Buenos Aires,2008,3202.592
Combustibles y energía,Capital Federal,2008,0
Combustibles y energía,Córdoba,2008,0
Combustibles y energía,Entre Ríos,2008,69.633
Combustibles y energía,La Pampa,2008,0
Combustibles y energía,Santa Fe,2008,327.146
Combustibles y energía,Chubut,2008,1504.904
Combustibles y energía,Neuquén,2008,287.255
Combustibles y energía,Río Negro,2008,37.772
Combustibles y energía,Santa Cruz,2008,53.535
Combustibles y energía,Tierra del Fuego,2008,284.07
Combustibles y energía,Catamarca,2008,0
Combustibles y energía,Jujuy,2008,1.295
Combustibles y energía,La Rioja,2008,0
Combustibles y energía,Salta,2008,357.341
Combustibles y energía,Santiago del Estero,2008,0
Combustibles y energía,Tucumán,2008,1.476
Combustibles y energía,Mendoza,2008,186.639
Combustibles y energía,San Juan,2008,0
Combustibles y energía,San Luis,2008,0
Combustibles y energía,Chaco,2008,0
Combustibles y energía,Corrientes,2008,29.173
Combustibles y energía,Formosa,2008,3.722
Combustibles y energía,Misiones,2008,0
Total,Total País,2009,55672.097
Total,Buenos Aires,2009,18374.325
Total,Capital Federal,2009,377.55
