provincia,anio,mes,empleados_registrados_miles
Chubut,2011,ene-11,94.661
Chubut,2011,feb-11,94.869
Chubut,2011,mar-11,95.698
Chubut,2011,abr-11,94.995
Chubut,2011,may-11,93.944
Chubut,2011,jun-11,94.043
Chubut,2011,jul-11,93.587
Chubut,2011,ago-11,94.205
Chubut,2011,sep-11,94.459
Chubut,2011,oct-11,94.735
Chubut,2011,nov-11,95.532
Chubut,2011,dic-11,96.577
Chubut,2012,ene-12,95.244
Chubut,2012,feb-12,94.694
Chubut,2012,mar-12,94.94
Chubut,2012,abr-12,93.591
Chubut,2012,may-12,93.275
Chubut,2012,jun-12,93.451
Chubut,2012,jul-12,93.213
Chubut,2012,ago-12,94.21
Chubut,2012,sep-12,94.327
Chubut,2012,oct-12,95.161
Chubut,2012,nov-12,95.903
Chubut,2012,dic-12,96.017
Chubut,2013,ene-13,95.08
Chubut,2013,feb-13,95.078
Chubut,2013,mar-13,94.629
Chubut,2013,abr-13,93.813
Chubut,2013,may-13,93.347
Chubut,2013,jun-13,92.688
Chubut,2013,jul-13,93.198
Chubut,2013,ago-13,94.141
Chubut,2013,sep-13,94.669
Chubut,2013,oct-13,96.069
Chubut,2013,nov-13,96.695
Chubut,2013,dic-13,97.834
Chubut,2014,ene-14,97.526
Chubut,2014,feb-14,97.747
Chubut,2014,mar-14,96.968
Chubut,2014,abr-14,96.258
Chubut,2014,may-14,96.243
Chubut,2014,jun-14,96.905
Chubut,2014,jul-14,97.13
Chubut,2014,ago-14,97.675
Chubut,2014,sep-14,98.683
Chubut,2014,oct-14,99.591
Chubut,2014,nov-14,100.614
Chubut,2014,dic-14,101.488
Chubut,2015,ene-15,101.254
Chubut,2015,feb-15,101.062
Chubut,2015,mar-15,101.301
Chubut,2015,abr-15,100.453
Chubut,2015,may-15,99.709
Chubut,2015,jun-15,99.975
Chubut,2015,jul-15,100.207
Chubut,2015,ago-15,100.919
Chubut,2015,sep-15,101.152
Chubut,2015,oct-15,101.815
Chubut,2015,nov-15,101.841
Chubut,2015,dic-15,101.4
Chubut,2016,ene-16,100.727
Chubut,2016,feb-16,100.061
Chubut,2016,mar-16,99.799
Chubut,2016,abr-16,97.793
Chubut,2016,may-16,96.061
Chubut,2016,jun-16,96.019
Chubut,2016,jul-16,96.237
Chubut,2016,ago-16,96.963
Chubut,2016,sep-16,97.165
Chubut,2016,oct-16,97.449
Chubut,2016,nov-16,98.307
Chubut,2016,dic-16,98.977
Chubut,2017,ene-17,98.384
Chubut,2017,feb-17,98.261
Chubut,2017,mar-17,98.138
Chubut,2017,abr-17,96.506
Chubut,2017,may-17,95.874
Chubut,2017,Jun-17,96.212
Chubut,2017,Jul-17,96.254
Chubut,2017,ago-17,96.995
Chubut,2017,sep-17,97.473
Chubut,2017,oct-17,97.593
Chubut,2017,nov-17,97.878
Chubut,2017,dic-17,98.478
Chubut,2018,ene-18,97.742
Chubut,2018,feb-18,96.821
Chubut,2018,mar-18,96.556
Chubut,2018,abr-18,94.835
Chubut,2018,may-18,93.604
Chubut,2018,jun-18,93.891
Chubut,2018,jul-18,94.307
Chubut,2018,ago-18,95.441
Chubut,2018,sep-18,96.222
Chubut,2018,oct-18,95.892
Chubut,2018,nov-18,94.782
Chubut,2018,dic-18,95.906
Chubut,2019,ene-19,96.329
Chubut,2019,feb-19,96.37
Chubut,2019,mar-19,95.91
Chubut,2019,abr-19,94.024
Chubut,2019,may-19,92.366
Chubut,2019,jun-19,93.627
Chubut,2019,jul-19,94.779
Chubut,2019,ago-19,95.738
Chubut,2019,sep-19,95.538
Chubut,2019,oct-19,95.016
Chubut,2019,nov-19,95.535
Chubut,2019,dic-19,95.951
Chubut,2020,ene-20,97.106
